,country,year,sex,suicides_rate
495,Barbados,1991,male,57.58
496,Barbados,1992,female,12.620000000000001
497,Barbados,1992,male,50.910000000000004
498,Barbados,1993,female,5.29
499,Barbados,1993,male,85.64
500,Barbados,1994,female,18.270000000000003
501,Barbados,1994,male,48.81
502,Barbados,1995,female,20.729999999999997
503,Barbados,1995,male,51.559999999999995
504,Barbados,2000,female,4.96
505,Barbados,2000,male,32.17
506,Barbados,2001,female,0.0
507,Barbados,2001,male,8.65
508,Barbados,2002,female,0.0
509,Barbados,2002,male,0.0
510,Barbados,2003,female,0.0
511,Barbados,2003,male,0.0
512,Barbados,2004,female,0.0
513,Barbados,2004,male,7.79
514,Barbados,2005,female,0.0
515,Barbados,2005,male,2.58
516,Barbados,2006,female,0.0
517,Barbados,2006,male,45.38
518,Barbados,2007,female,0.0
519,Barbados,2007,male,0.0
520,Barbados,2008,female,2.31
521,Barbados,2008,male,0.0
522,Barbados,2009,female,0.0
523,Barbados,2009,male,28.799999999999997
524,Barbados,2010,female,0.0
525,Barbados,2010,male,7.62
526,Barbados,2011,female,0.0
527,Barbados,2011,male,0.0
528,Barbados,2012,female,0.0
529,Barbados,2012,male,0.0
530,Barbados,2013,female,0.0
531,Barbados,2013,male,0.0
532,Belarus,1990,female,52.67
533,Belarus,1990,male,221.70000000000002
534,Belarus,1991,female,56.48
535,Belarus,1991,male,241.16
536,Belarus,1992,female,58.35
537,Belarus,1992,male,255.89000000000001
538,Belarus,1993,female,62.57
539,Belarus,1993,male,302.54
540,Belarus,1994,female,67.41
541,Belarus,1994,male,336.17
542,Belarus,1995,female,57.12
543,Belarus,1995,male,346.89
544,Belarus,1996,female,62.75000000000001
545,Belarus,1996,male,392.96
546,Belarus,1997,female,65.35000000000001
547,Belarus,1997,male,381.15
548,Belarus,1998,female,66.32
549,Belarus,1998,male,389.32
550,Belarus,1999,female,63.92
551,Belarus,1999,male,386.43999999999994
552,Belarus,2000,female,60.29
553,Belarus,2000,male,387.01000000000005
554,Belarus,2001,female,59.279999999999994
555,Belarus,2001,male,360.37000000000006
556,Belarus,2002,female,59.79
557,Belarus,2002,male,351.21
558,Belarus,2003,female,63.71
559,Belarus,2003,male,381.15000000000003
560,Belarus,2007,female,52.589999999999996
561,Belarus,2007,male,303.3
562,Belarus,2008,female,52.17
563,Belarus,2008,male,299.99
564,Belarus,2009,female,58.39
565,Belarus,2009,male,317.15
566,Belarus,2010,female,46.169999999999995
567,Belarus,2010,male,285.81
568,Belarus,2011,female,45.129999999999995
569,Belarus,2011,male,254.23
570,Belarus,2013,female,40.040000000000006
571,Belarus,2013,male,233.28
572,Belarus,2014,female,33.17
573,Belarus,2014,male,219.73999999999998
574,Belgium,1985,female,91.62
575,Belgium,1985,male,240.42000000000002
576,Belgium,1986,female,82.34
577,Belgium,1986,male,232.35
578,Belgium,1987,female,84.65
579,Belgium,1987,male,243.11
580,Belgium,1988,female,77.03
581,Belgium,1988,male,206.76999999999998
582,Belgium,1989,female,68.67
583,Belgium,1989,male,216.17999999999998
584,Belgium,1990,female,70.5
585,Belgium,1990,male,206.60999999999999
586,Belgium,1991,female,60.67
